Designator,Footprint,Quantity,Value,LCSC Part #
BUZZER1,BUZ-SMD_L9.6-W9.6-LS10.0-R,1,BUZZER,C96127
"C1, C10, C13, C18, C7, C8",0402,6,10uF,
"C11, C19, C2, C20, C27, C28, C29, C34, C36, C37, C4, C41, C44, C45, C46, C5, C6, C9",0402,18,0.1uF,
"C12, C38",0402,2,10nF,
"C14, C15, C16, C22, C3",0603,5,10uF,
"C21, C35",CASE-B_3528,2,100uF,C16133
"C30, C31, C32, C33",CAP-SMD_L3.2-W1.6-RD-C7171,4,10uF,C7171
C39,0402,1,2.2uF,
C40,0402,1,1uF,
"C42, C43",0402,2,12pF,
D1,D_SMA,1,SS34,
D3,0805,1,RED,
D4,0805,1,GREEN,
H1,GPS,1,GPS,
H2,BAT,1,BAT,
H3,CAP,1,CAP,
H4,CAM,1,CAM,
H5,PWR,1,PWR,
H6,VTX,1,VTX,
H7,SWD,1,SWD,
L1,IND-SMD_L4.0-W4.0,1,68uH,
"R1, R10, R2, R6",0402,4,5.1k,
R11,0402,1,47k,
"R12, R3, R4, R5, R7",0402,5,10k,
R13,0402,1,120,
"R8, R9",0603,2,75,
"SW1, SW2",SW-SMD_L3.9-W3.0-P4.45,2,SWITCH,C720477
U1,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q128JVSIQTR,C97521
U2,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,XL1509-5.0E1,C61063
U3,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AMS1117-3.3,C6186
U4,TSSOP-28_L9.7-W4.4-P0.65-LS6.4-BL-EP-2,1,AT7456E,C82351
U5,QFN-24_L3.0-W3.0-P0.40-BL-EP,1,MPU6500,C50278
U6,UFQFPN-48_L7.0-W7.0-P0.50-BL-EP,1,STM32F411CEU6,C60420
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
X2,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,27MHz,C390777
X3,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,25MHz,C9006
