Designator,Footprint,Quantity,Value,LCSC Part #
BUZZER1,BUZ-SMD_L9.6-W9.6-LS10.0-R,1,BUZZER,C96127
"C1, C10, C13, C49, C7, C8",0402,6,10uF,C15525
"C11, C17, C2, C23, C27, C28, C29, C34, C36, C37, C4, C41, C44, C45, C47, C48, C50",0402,17,0.1uF,C307331
"C12, C18, C24, C26, C38",0402,5,10nF,C15195
"C21, C35",CASE-B_3528,2,100uF,C16133
C25,0603,1,470nF,C1623
"C30, C32",CAP-SMD_L3.2-W1.6-RD-C7171,2,22uF,
"C31, C33",0402,2,10pF,C32949
C39,0402,1,2.2uF,C12530
C40,0402,1,1uF,C52923
"C42, C43",0402,2,12pF,C1547
C5,0603,1,0.1uF,
D1,SOD-123_L2.7-W1.6-LS3.7-RD-1,1,B5819W,C8598
D2,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,USBLC6-2SC6,C7519
D3,0805,1,RED,C84256
D4,0805,1,GREEN,C2297
FL1,FIL_2450FM07D0034T,1,2450FM07D0034T,
H1,GPS,1,GPS,
H2,BAT,1,BAT,
H3,CAP,1,CAP,
H4,CAM,1,CAM,
H5,PWR,1,PWR,
H6,VTX,1,VTX,
H7,SWD,1,SWD,
H8,ESC,1,ESC,
J1,UFL,1,Conn_Coaxial_Small,
JP1,ENA,1,ENA,
JP2,FLASH,1,FLASH,
L1,L_Sunlord_SWPA8040S,1,68uH,
"R1, R10, R2, R6",0402,4,5.1k,C25905
R11,0402,1,47k,C25792
"R12, R15, R16, R3, R5",0402,5,10k,C25744
R13,0402,1,120,C25079
R14,0402,1,12k,C25752
"R4, R7",0603,2,10k,
"R8, R9",0603,2,75,C4275
U1,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q128JVSIQTR,C97521
U2,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,XL1509-5.0E1,C61063
U4,TSSOP-28_L9.7-W4.4-P0.65-LS6.4-BL-EP-2,1,AT7456E,C82351
U5,QFN-24_L3.0-W3.0-P0.40-BL-EP,1,MPU6500,C50278
U6,UFQFPN-48_L7.0-W7.0-P0.50-BL-EP,1,STM32F411CEU6,C60420
U7,QFN-32_L5.0-W5.0-P0.50-TL-EP3.7,1,ESP8285H16,C967019
U8,QFN-24_L4.0-W4.0-P0.50-TL-EP2.6,1,SX1281IMLTRT,C2151551
U9,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,1,SPX3819M5-L-3-3/TR,C9055
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
X1,CRYSTAL-SMD_4P-L2.0-W1.6-BL,1,52MHz,C3034316
X2,CRYSTAL-SMD_4P-L2.0-W1.6-BL,1,27MHz,C648952
X3,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,25MHz,C9006
X4,CRYSTAL-SMD_4P-L2.0-W1.6-BL,1,26MHz,C19272774
