Designator,Mid X,Mid Y,Rotation,Layer
BUZZER1,169.29,-70.68,270.0,bottom
C1,180.02,-75.92,270.0,top
C10,159.9,-64.83,90.0,top
C11,157.9,-64.83,90.0,top
C12,158.9,-64.83,90.0,top
C13,167.53,-81.19,180.0,top
C17,156.35,-93.05,180.0,top
C18,162.19,-83.64,90.0,top
C2,178.9,-75.91,270.0,top
C21,166.13,-84.26,180.0,top
C23,154.49,-92.53,180.0,top
C24,156.15,-90.8,180.0,top
C25,160.25,-86.65,90.0,top
C26,161.49,-87.77,90.0,top
C27,165.35,-63.8,180.0,top
C28,175.32,-68.52,0.0,top
C29,177.1,-62.52,0.0,top
C30,177.13,-70.46,270.0,bottom
C31,150.33,-79.61,90.0,top
C32,175.44,-73.54,270.0,bottom
C33,151.24,-77.94,180.0,top
C34,175.18,-62.53,0.0,top
C35,174.0,-87.43,0.0,top
C36,166.39,-75.84,225.0,top
C37,165.689411,-75.140589,225.0,top
C38,167.58,-77.01,225.0,top
C39,162.31,-74.8,90.0,top
C4,167.52,-82.18,180.0,top
C40,160.66,-83.94,270.0,top
C41,160.01,-81.5,0.0,top
C42,160.02,-82.49,0.0,top
C43,157.24,-84.97,0.0,top
C44,162.76,-73.35,0.0,top
C45,154.84,-71.66,90.0,top
C47,148.84,-79.65,180.0,top
C48,148.88,-81.1,90.0,top
C49,148.85,-78.68,0.0,top
C5,154.93,-79.655,90.0,bottom
C50,148.49,-88.01,270.0,top
C7,168.89,-79.61,0.0,top
C8,162.13,-82.2,180.0,top
D1,173.23,-78.94,180.0,top
D2,157.89,-75.5775,90.0,bottom
D3,172.95,-91.73,90.0,top
D4,158.87,-70.14,90.0,top
FL1,163.04,-90.425,0.0,top
H1,148.855,-70.87,90.0,top
H2,180.59,-84.45,270.0,top
H3,177.79,-84.45,270.0,bottom
H4,170.43,-62.85,180.0,bottom
H5,160.11,-62.86,0.0,top
H6,179.65,-71.82,90.0,top
H7,153.85,-72.47,90.0,bottom
H8,151.355,-73.27,90.0,top
J1,166.24,-90.425,270.0,top
JP1,149.29,-72.88,180.0,bottom
JP2,149.29,-70.88,180.0,bottom
L1,172.18,-81.8,0.0,bottom
R1,157.17,-66.83,0.0,top
R10,156.19,-65.77,0.0,top
R11,179.77,-79.85,90.0,top
R12,178.78,-79.84,270.0,top
R13,174.94,-70.85,90.0,top
R14,150.33,-81.43,180.0,top
R15,151.03,-68.71,180.0,top
R16,155.23,-89.77,0.0,top
R2,161.17,-66.83,180.0,top
R3,177.83,-78.3,0.0,top
R4,152.14,-78.98,270.0,bottom
R5,169.89,-85.65,180.0,top
R6,172.88,-89.47,180.0,top
R7,156.47,-78.88,90.0,bottom
R8,177.02,-70.54,180.0,top
R9,165.09,-62.525,180.0,top
U1,173.57,-75.16,0.0,top
U2,172.92,-82.73,180.0,top
U4,170.32,-67.08,180.0,top
U5,164.75,-78.25,135.0,top
U6,157.65,-76.775,0.0,top
U7,151.4775,-84.9,90.0,top
U8,159.53,-90.67,0.0,top
U9,164.82,-83.11,90.0,bottom
USB1,158.9,-66.77,180.0,bottom
X1,157.61,-86.93,180.0,top
X2,165.16,-65.73,90.0,top
X3,156.92,-82.74,0.0,top
X4,152.11,-79.45,0.0,top
